split,RMSE,MAE,R2
overall,0.007253644056618214,0.004225294105708599,0.9845677614212036
fwns_low,0.002852150471881032,0.001325308345258236,0.9933200478553772
fwns_medium,0.005212657153606415,0.0037113989237695932,0.9505481123924255
fwns_high,0.01106975506991148,0.007639174349606037,0.9855172634124756
