,0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.40,0.40-0.50,0.50-0.60,0.60-0.70,0.70-1.00
0.00-0.10,0.7819218039512634,0.8162997961044312,0.849027693271637,0.8735215067863464,0.8908010125160217,0.9053125381469727,0.919105052947998,0.9306350946426392,0.936272144317627,0.9287663698196411,0.9411982893943787
0.10-0.20,0.8973135948181152,0.849748432636261,0.8524737358093262,0.8695405721664429,0.8899350762367249,0.900570273399353,0.9161987900733948,0.9288339018821716,0.9368180632591248,0.9432064294815063,0.9415128827095032
0.20-0.30,0.77862149477005,0.8516480326652527,0.8572810888290405,0.8613994717597961,0.8758513331413269,0.8878114223480225,0.9006123542785645,0.9178042411804199,0.9329484701156616,0.943394124507904,0.9457885026931763
0.30-0.40,,,0.7961848378181458,0.8650345206260681,0.8662269115447998,0.8642950057983398,0.8868149518966675,0.9072150588035583,0.9325652718544006,0.9394159913063049,0.9371195435523987
0.40-0.50,0.7615926861763,,0.8387084007263184,,0.8259668350219727,0.8744142055511475,0.7798206210136414,0.9051531553268433,0.9393486380577087,,0.9373424053192139
