,0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.40,0.40-0.50,0.50-0.60,0.60-0.70,0.70-1.00
0.00-0.10,0.8115490674972534,0.8386531472206116,0.8649045825004578,0.8839514851570129,0.8959546089172363,0.9070113301277161,0.9200592637062073,0.9307059049606323,0.9310212135314941,0.9218174815177917,0.9325535297393799
0.10-0.20,0.8283188939094543,0.8642638325691223,0.8313482999801636,0.8613049387931824,0.8871234059333801,0.8946681618690491,0.9110251069068909,0.9209647178649902,0.9275827407836914,0.9304696917533875,0.9319407939910889
0.20-0.30,0.7956976890563965,0.7837160229682922,0.809292197227478,0.8254865407943726,0.8478870987892151,0.8612112998962402,0.8746150732040405,0.8908783793449402,0.8969965577125549,0.9049137830734253,0.9233834743499756
0.30-0.40,,,0.789394736289978,0.8255575299263,0.8251662254333496,0.8268368244171143,0.8511377573013306,0.8704137802124023,0.8991331458091736,0.9147452116012573,0.9319181442260742
0.40-0.50,0.7904667258262634,,0.8559236526489258,,0.8585053086280823,0.8332869410514832,0.7976572513580322,0.9162402153015137,0.9278920292854309,,0.9329261183738708
