,0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.40,0.40-0.50,0.50-0.60,0.60-0.70,0.70-1.00
0.00-0.10,0.9602647423744202,0.9574719667434692,0.9568437933921814,0.957727313041687,0.9583185911178589,0.9594390392303467,0.9590484499931335,0.9556705951690674,0.9518597722053528,0.940513014793396,0.9448988437652588
0.10-0.20,0.9936893582344055,0.9514313340187073,0.9499974250793457,0.9521307349205017,0.9561280012130737,0.9569742679595947,0.9580482244491577,0.9574776291847229,0.9563800096511841,0.9550710916519165,0.9478798508644104
0.20-0.30,0.9582512974739075,0.9610791206359863,0.9473108053207397,0.9517236948013306,0.9504467844963074,0.9525078535079956,0.9536914229393005,0.9570188522338867,0.9609967470169067,0.9631558656692505,0.9576800465583801
0.30-0.40,,,0.90904301404953,0.9532334208488464,0.948818564414978,0.937836766242981,0.9464247226715088,0.9537122845649719,0.9602072834968567,0.9598032236099243,0.9439217448234558
0.40-0.50,0.9533699154853821,,0.9189109802246094,,0.9117060899734497,0.9409059882164001,0.8824178576469421,0.9437546730041504,0.9578508734703064,,0.9439847469329834
