,0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.40,0.40-0.50,0.50-0.60,0.60-0.70,0.70-1.00
0.00-0.10,0.9443514943122864,0.9448392987251282,0.9451900124549866,0.9457319378852844,0.9455256462097168,0.9472176432609558,0.9501866102218628,0.9505613446235657,0.9441820979118347,0.9325404167175293,0.936458170413971
0.10-0.20,0.9188581109046936,0.9427123069763184,0.907974123954773,0.9247978329658508,0.9366744160652161,0.9374744296073914,0.9433699250221252,0.9438623785972595,0.9439718723297119,0.9413369297981262,0.9382524490356445
0.20-0.30,0.9489122629165649,0.8806232810020447,0.8822094202041626,0.8983095288276672,0.9088588356971741,0.9137770533561707,0.9186282157897949,0.9236593842506409,0.9211152791976929,0.9227440357208252,0.9346809387207031
0.30-0.40,,,0.8907920122146606,0.9008606672286987,0.8954148292541504,0.8891996145248413,0.901526689529419,0.9091874957084656,0.9229631423950195,0.932248592376709,0.9383335709571838
0.40-0.50,0.9470358490943909,,0.9200606942176819,,0.9206452965736389,0.8886535167694092,0.885344922542572,0.9486282467842102,0.9422972202301025,,0.9391210079193115
