,0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.40,0.40-0.50,0.50-0.60,0.60-0.70,0.70-1.00
0.00-0.10,15120.0,98566.0,122242.0,156432.0,127032.0,65629.0,46776.0,6815.0,1858.0,641.0,9453.0
0.10-0.20,6.0,128.0,3005.0,10864.0,94997.0,202917.0,497469.0,407379.0,316929.0,396640.0,609034.0
0.20-0.30,1.0,7.0,302.0,2067.0,6623.0,21881.0,271350.0,868437.0,1144456.0,690146.0,162465.0
0.30-0.40,0.0,0.0,18.0,103.0,409.0,1132.0,30066.0,38818.0,44859.0,3009.0,6293.0
0.40-0.50,3.0,0.0,1.0,0.0,4.0,16.0,117.0,19.0,9.0,0.0,1830.0
